ts,agent_id,steer_err,speed_err,desired_speed,speed
2089075144,0,0.001861729958228728,9.26666808128357,9.26666808128357,0.0
2114075144,0,0.0016635785813075806,9.401922225952148,9.401922225952148,0.0
2139075145,0,0.0024138369161380924,9.426514148712158,9.426514148712158,0.0
2164075145,0,0.0015903437752068882,9.708649635314941,9.708649635314941,0.0
2189075145,0,0.0020941840629814957,9.725621938705444,9.725621938705444,0.0
2214075146,0,0.0023770297856108014,9.746742725372314,9.746742725372314,0.0
2239075146,0,0.0018227978799596556,9.750409126281738,9.750409126281738,0.0
2264075146,0,0.002286871288566633,9.72584867477417,9.72584867477417,0.0
2289075147,0,0.0020652695954951083,9.721831054502848,9.72183108329773,2.8794880906920604e-08
2314075147,0,0.0018718993509929695,9.725162713810803,9.725162744522095,3.07112908100023e-08
2339075148,0,0.0015511840239654819,9.722009888408866,9.722009897232056,8.823188663177916e-09
2364075148,0,0.0016355748057105283,9.717732659153782,9.717732667922974,8.769191442051689e-09
2389075148,0,0.0014586729062071979,9.728719596009707,9.728433609008789,-0.00028598700091756385
2414075149,0,0.0013990984784465314,9.730556606974737,9.730402708053589,-0.00015389892114815035
2439075149,0,0.0013336045534051869,9.74920832241866,9.749143838882446,-6.448353621461787e-05
2464075149,0,0.0012930028733389998,9.751889989873202,9.751882553100586,-7.436772617181108e-06
2489075150,0,0.0012402586347483458,9.759436369028046,9.759462118148804,2.5749120757219833e-05
2514075150,0,0.0012252322185743179,9.764401077821786,9.76444387435913,4.279653734527769e-05
2539075151,0,0.0012929269823482219,9.7697486479795,9.769798278808594,4.963082909401071e-05
2564075151,0,0.0011601936394776409,9.772430185029929,9.772480487823486,5.030279355762861e-05
2589075151,0,0.0010525043235637731,9.774968530520493,9.775016069412231,4.753889173852857e-05
2614075152,0,0.0010898426910265094,9.772422936732877,9.77246618270874,4.3245975863001474e-05
2639075152,0,0.0010814946820409384,9.767495429531035,9.767533779144287,3.834961325283471e-05
2664075152,0,0.0011334041197330353,9.769809951857827,9.769843339920044,3.338806221700762e-05
2689075153,0,0.0011324934278437002,9.77543435039572,9.775463104248047,2.875385232648671e-05
2714075153,0,0.0010963693162334106,9.770579795261371,9.770604372024536,2.4576763164972826e-05
2739075154,0,0.0010990255009106378,9.770479031803742,9.77049994468689,2.0912883147597437e-05
2764075154,0,0.0010097018047650265,9.769097450879908,9.769115209579468,1.7758699560606714e-05
2789075154,0,0.0011549571611139643,9.77320935900628,9.773224353790283,1.4994784003750559e-05
2814075155,0,0.001088324871210951,9.767748584166315,9.76776123046875,1.2646302435554294e-05
2839075155,0,0.0011557919620125215,9.76557042444702,9.765581130981445,1.070653442501497e-05
2864075155,0,0.0011733986718729988,9.768640567676973,9.768649578094482,9.010417509464206e-06
2889075156,0,0.0011995051727006032,9.768565449616508,9.76857304573059,7.596114082545379e-06
2914075156,0,0.0011438770764603881,9.771032138981097,9.77103853225708,6.39327598299072e-06
2939075157,0,0.0011195919594114538,9.770145494693649,9.770150899887085,5.405193436052711e-06
2964075157,0,0.0012261429104636528,9.765656694753387,9.765661239624023,4.544870636369114e-06
2989075157,0,0.0011547294881416306,9.768310959609048,9.768314838409424,3.878800376015025e-06
3014075158,0,0.001172108525029774,9.770361459796549,9.770364761352539,3.3015559906591544e-06
3039075158,0,0.0012057282339443924,9.771395554568208,9.771398305892944,2.751324735263602e-06
3064075158,0,0.0011624703692009785,9.774874272455564,9.774876594543457,2.3220878917989494e-06
3089075159,0,0.0011696041223341028,9.772811107974714,9.772813081741333,1.9737666189346613e-06
3114075159,0,0.0010631290622726817,9.777255310591933,9.777256965637207,1.6550452741607967e-06
3139075160,0,0.0011385647071059338,9.77733997869421,9.777341365814209,1.3871199992955269e-06
3164075160,0,0.0011013781216247533,9.769403031614152,9.769404172897339,1.1412831863294723e-06
3189075160,0,0.0011047932162097595,9.774463612776367,9.77446460723877,9.94462401819155e-07
3214075161,0,0.0011331005557699235,9.77617681069474,9.776177644729614,8.340348746561759e-07
3239075161,0,0.0011380334701704884,9.776598935957756,9.776599645614624,7.09656867845762e-07
3264075161,0,0.0011296854611849171,9.778793445064887,9.778794050216675,6.051517876640824e-07
3289075162,0,0.0011164804287895592,9.782105543483574,9.782105684280396,1.4079682063071282e-07
3314075162,0,0.0011188330495036747,9.780096978662595,9.780097246170044,2.675074487611984e-07
3339075163,0,0.0010584997118352286,9.780237168737282,9.780237436294556,2.6755727390425156e-07
3364075163,0,0.0010970523351504118,9.776479833839552,9.776480197906494,3.640669426935792e-07
3389075163,0,0.0010767135496219293,9.782366430012058,9.782366752624512,3.2261245466977977e-07
3414075164,0,0.001103654851348091,9.779834462848605,9.779834747314453,2.8446584772486393e-07
3439075164,0,0.0011516938485105139,9.783053862025858,9.783054113388062,2.5136220338997227e-07
3464075164,0,0.0010877177432847276,9.78329707537013,9.783297300338745,2.2496861409979275e-07
3489075165,0,0.0011519974124736254,9.785203250155051,9.785203456878662,2.067236098114904e-07
3514075165,0,0.0010726154361199217,9.77895909931019,9.778959274291992,1.749818023529178e-07
3539075165,0,0.0011133688981676646,9.781729306170837,9.781729459762573,1.5359173695784088e-07
3564075166,0,0.0010529596695084407,9.776550147273422,9.77655029296875,1.4569532738449023e-07
3589075166,0,0.0010669236118115777,9.783792175878684,9.78379225730896,8.143027530747375e-08
3614075167,0,0.0010823294829394954,9.783886542176068,9.783886671066284,1.2889021579631012e-07
3639075167,0,0.0011406137638569377,9.783648416279146,9.783648490905762,7.46266152268286e-08
