ts,agent_id,steer_err,speed_err,desired_speed,speed
2051132384,0,0.0018662834176754032,9.251790761947632,9.251790761947632,0.0
2076132385,0,0.0017448578324307322,9.376595735549927,9.376595735549927,0.0
2101132385,0,0.0023346826127567223,9.411177635192871,9.411177635192871,0.0
2126132385,0,0.0015697014257152941,9.718166828155518,9.718166828155518,0.0
2151132386,0,0.0021123220097774183,9.723670721054077,9.723670721054077,0.0
2176132386,0,0.002393877585563499,9.745310068130493,9.745310068130493,0.0
2201132386,0,0.0018744796446794186,9.743870258331299,9.743870258331299,0.0
2226132387,0,0.0023117635335417907,9.723418951034546,9.723418951034546,0.0
2251132387,0,0.002104049891782625,9.71814891797134,9.718148946762085,2.8790745560876188e-08
2276132388,0,0.0018848767104159938,9.724204271121598,9.724204301834106,3.0712508840761986e-08
2301132388,0,0.0015730406293095226,9.721366873500724,9.721366882324219,8.823495500469923e-09
2326132388,0,0.0016326150570701895,9.718489399723566,9.718489408493042,8.769476334475235e-09
2351132389,0,0.0014761278340861194,9.72886479094346,9.728578805923462,-0.00028598501999775323
2376132389,0,0.0013988708054741975,9.731063010889835,9.7309091091156,-0.0001539017742353064
2401132389,0,0.001331327823681849,9.749140368168238,9.749075889587402,-6.447858083561545e-05
2426132390,0,0.0013161496255262653,9.752520130273036,9.752512693405151,-7.436867883750942e-06
2451132390,0,0.0012620393491016087,9.759980678647537,9.760006427764893,2.574911735506649e-05
2476132391,0,0.0012366158671910058,9.76551330210209,9.76555609703064,4.2794928550719154e-05
2501132391,0,0.0012937617832467791,9.76955624583503,9.769605875015259,4.962918022817735e-05
2526132391,0,0.0011782556952827856,9.772137646318818,9.772187948226929,5.0301908111287934e-05
2551132392,0,0.0010594862947153416,9.774308349621672,9.7743558883667,4.7538745028090034e-05
2576132392,0,0.0011028200504495337,9.772545247067507,9.77258849143982,4.3244372311770594e-05
2601132392,0,0.0010857445775245018,9.767294443164092,9.767332792282104,3.8349118012882014e-05
2626132393,0,0.0011286988783048043,9.770046703146324,9.770080089569092,3.3386422767005365e-05
2651132393,0,0.0011436494034880544,9.775442194624057,9.775470972061157,2.8777437099517465e-05
2676132394,0,0.0011014540126155312,9.76974866832827,9.769773244857788,2.457652951774093e-05
2701132394,0,0.0010974317901043013,9.771294402431135,9.771315336227417,2.0933796282043345e-05
2726132394,0,0.001005603691263019,9.770427137004583,9.770444869995117,1.7732990533780028e-05
2751132395,0,0.0011381852521520441,9.774397448411449,9.774412393569946,1.4945158497620775e-05
2776132395,0,0.0010938649135377393,9.768296473342742,9.768309116363525,1.2643020783043268e-05
2801132395,0,0.0011619391322655328,9.76610403265669,9.766114711761475,1.0679104785223156e-05
2826132396,0,0.0011718049610666625,9.768094854094938,9.768103837966919,8.983871980144772e-06
2851132396,0,0.0012132414420314064,9.769313632946936,9.769321203231812,7.570284875086128e-06
2876132396,0,0.0011595865115514173,9.772094273447035,9.772100687026978,6.413579942513861e-06
2901132397,0,0.0011362879773825962,9.769841466081555,9.76984691619873,5.450117174852262e-06
2926132397,0,0.0012388925969143434,9.764874897949609,9.76487946510315,4.567153539955348e-06
2951132398,0,0.0011828850457202386,9.766170964526749,9.766174793243408,3.828716659381618e-06
2976132398,0,0.001188273306065471,9.76978353693008,9.769786834716797,3.2977867180336457e-06
3001132398,0,0.0012199957402106412,9.770655268235313,9.770658016204834,2.747969520939035e-06
3026132399,0,0.0011708183781865495,9.774953669137169,9.774955987930298,2.318793129271308e-06
3051132399,0,0.0011781798042920077,9.773983414653559,9.773985385894775,1.9712412172278593e-06
3076132399,0,0.0010680619766732465,9.77669097620104,9.776692628860474,1.652659433279397e-06
3101132400,0,0.0011469886070822827,9.777763412747237,9.777764797210693,1.3844634561666262e-06
3126132400,0,0.0011148867179832228,9.769107633555814,9.769108772277832,1.1387220188603606e-06
3151132401,0,0.001118529485540563,9.77522893814078,9.775229930877686,9.927369052750811e-07
3176132401,0,0.0011396271809768245,9.77697575266389,9.776976585388184,8.327242935317823e-07
3201132401,0,0.0011479751899623957,9.776122552522612,9.776123285293579,7.327709678178333e-07
3226132402,0,0.0011321898638805884,9.779372803103183,9.779373407363892,6.042607084207203e-07
3251132402,0,0.001116783992752671,9.782367327083175,9.782367467880249,1.4079707408535532e-07
3276132402,0,0.0011177705756327838,9.780028314111226,9.780028581619263,2.675080369469967e-07
3301132403,0,0.0010474196271816525,9.780336589284234,9.780336856842041,2.6755780724190746e-07
3326132403,0,0.0010909810558881784,9.776461952843936,9.776462316513062,3.636691252512926e-07
3351132404,0,0.0010708699433320296,9.782542383026378,9.782542705535889,3.2250951037829965e-07
3376132404,0,0.0010986460459567482,9.779548361329786,9.779548645019531,2.836897454879683e-07
3401132404,0,0.0011492653368056203,9.782345758773362,9.78234601020813,2.5143476870171593e-07
3426132405,0,0.0010734502370184787,9.782657613427139,9.782657861709595,2.482824565438169e-07
3451132405,0,0.0011379575791797105,9.785359914647636,9.785360097885132,1.8323749630355693e-07
3476132405,0,0.0010535667974346638,9.780084913178833,9.78008508682251,1.7364367727879654e-07
3501132406,0,0.0010963693162334106,9.781451072299372,9.781451225280762,1.5298138961256697e-07
3526132406,0,0.001041196565937863,9.776927779440458,9.776927947998047,1.6855758947320121e-07
3551132407,0,0.0010558435271580016,9.784240641386724,9.78424072265625,8.126952551897319e-08
3576132407,0,0.0010816464640224942,9.783091225309784,9.783091306686401,8.137661814695401e-08
3601132407,0,0.0011233865089503498,9.782986090873111,9.782986164093018,7.321990652679296e-08
