ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
10233434457,0,11.267763973384548,192.81747436523438,-47.30387496948242,0.001553230220451951
10258434457,0,11.319466822704413,192.81887817382812,-47.18320846557617,0.0015542220789939165
10283434458,0,11.369128903252875,192.82028198242188,-47.06248092651367,0.001555213937535882
10308434458,0,11.416739876635678,192.8217010498047,-46.94170379638672,0.001556129427626729
10333434458,0,11.462302993929889,192.82310485839844,-46.82088088989258,0.0015569686656817794
10358434459,0,11.505813884421826,192.8245086669922,-46.70001983642578,0.0015577316517010331
10383434459,0,11.547272820886949,192.82591247558594,-46.57910919189453,0.0015584563370794058
10408434459,0,11.586668357761628,192.8273162841797,-46.45816421508789,0.0015591430710628629
10433434460,0,11.624007845707618,192.82872009277344,-46.33718490600586,0.0015597534365952015
10458434460,0,11.659284204065298,192.83013916015625,-46.21617126464844,0.0015603256179019809
10483434461,0,11.692489527088723,192.83154296875,-46.09512710571289,0.001560859614983201
10508434461,0,11.723634433469606,192.83294677734375,-45.97405242919922,0.0015613555442541838
10533434461,0,11.752704215335358,192.8343505859375,-45.85295867919922,0.0015618514735251665
10558434462,0,11.780889199626738,192.83575439453125,-45.73183059692383,0.0015622329665347934
10583434462,0,11.809147272317938,192.837158203125,-45.61068344116211,0.0015626144595444202
10608434462,0,11.83748111634527,192.8385772705078,-45.489505767822266,0.0015629958361387253
10633434463,0,11.86586755223026,192.83998107910156,-45.368309020996094,0.0015633773291483521
10658434463,0,11.894296763164926,192.8413848876953,-45.247093200683594,0.0015636825701221824
10683434464,0,11.92277963560046,192.84278869628906,-45.125858306884766,0.0015639495104551315
10708434464,0,11.951310988283245,192.8441925048828,-45.00460433959961,0.0015642547514289618
10733434464,0,11.979895997902377,192.84559631347656,-44.88332748413086,0.0015644836239516735
10758434465,0,12.0085079639845,192.8470001220703,-44.76204299926758,0.0015647124964743853
10783434465,0,12.037173313898121,192.84841918945312,-44.64073944091797,0.001564941368997097
10808434465,0,12.065868892644103,192.84982299804688,-44.51942825317383,0.0015651320572942495
10833434466,0,12.09461731507103,192.85122680664062,-44.398094177246094,0.0015653228620067239
10858434466,0,12.123396513669945,192.85263061523438,-44.27675247192383,0.001565475482493639
10883434467,0,12.152222286688751,192.85403442382812,-44.155399322509766,0.0015656279865652323
10908434467,0,12.181092738484523,192.85543823242188,-44.034027099609375,0.0015657806070521474
10933434467,0,12.21000595276403,192.8568572998047,-43.91264724731445,0.0015659332275390625
