ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
10868607299,0,24.328225391869683,193.26255798339844,-9.396610260009766,0.0017345809610560536
10893607299,0,24.3887122185556,193.2659912109375,-9.10478401184082,0.0017350387061014771
10918607300,0,24.44987244717013,193.2694549560547,-8.812167167663574,0.0017355346353724599
10943607300,0,24.511712410826735,193.27291870117188,-8.518763542175293,0.0017360305646434426
10968607300,0,24.57424906159509,193.27639770507812,-8.224575996398926,0.0017365645617246628
10993607301,0,24.637472122862608,193.27987670898438,-7.929610252380371,0.0017370223067700863
11018607301,0,24.701389593544928,193.2833709716797,-7.6338701248168945,0.001737518236041069
11043607302,0,24.766005210032247,193.286865234375,-7.3373589515686035,0.0017379759810864925
11068607302,0,24.831309222134085,193.29039001464844,-7.04008150100708,0.0017384338425472379
11093607302,0,24.897294876445653,193.2938995361328,-6.742042064666748,0.0017389296554028988
11118607303,0,24.96394813140626,193.29742431640625,-6.443243980407715,0.0017393875168636441
11143607303,0,25.031270339762596,193.3009796142578,-6.143691062927246,0.0017398452619090676
11168607303,0,25.09926388588467,193.3045196533203,-5.843388557434082,0.0017403030069544911
11193607304,0,25.167944873915452,193.30807495117188,-5.54233980178833,0.0017407989362254739
11218607304,0,25.23731274969523,193.31163024902344,-5.240548610687256,0.0017412184970453382
11243607304,0,25.307387324144624,193.3152313232422,-4.938018798828125,0.001741714426316321
11268607305,0,25.37818263941076,193.31881713867188,-4.634754657745361,0.0017422485398128629
11293607305,0,25.449717291385475,193.32241821289062,-4.330760478973389,0.0017425918485969305
11318607306,0,25.522010059468144,193.3260040283203,-4.026038646697998,0.0017430877778679132
11343607306,0,25.595071564432494,193.32962036132812,-3.7205941677093506,0.0017435073386877775
11368607306,0,25.668906173352976,193.333251953125,-3.414430856704712,0.0017438888316974044
11393607307,0,25.743515769991653,193.33688354492188,-3.1075518131256104,0.001744346576742828
11418607307,0,25.81889841641833,193.3405303955078,-2.799961805343628,0.001744766253978014
11443607307,0,25.895040977767646,193.3441619873047,-2.491663694381714,0.0017452239990234375
11468607308,0,25.971937440187173,193.3478240966797,-2.182661771774292,0.0017456053756177425
11493607308,0,26.049573035781144,193.35150146484375,-1.8729597330093384,0.0017460632370784879
11518607309,0,26.127933848132116,193.3551788330078,-1.56256103515625,0.001746444613672793
11543607309,0,26.20701181260833,193.3588409423828,-1.251469373703003,0.0017469024751335382
11568607309,0,26.286802687876364,193.36253356933594,-0.9396885633468628,0.0017472838517278433
11593607310,0,26.36728850318981,193.36624145507812,-0.6272222995758057,0.0017477035289630294
11618607310,0,26.448465089615077,193.3699493408203,-0.31407400965690613,0.0017480850219726562
11643607310,0,26.53032018642574,193.37367248535156,-0.0002473449567332864,0.0017485427670180798
11668607311,0,26.61284261262326,193.37738037109375,0.31425395607948303,0.0017489242600277066
11693607311,0,26.696034735959007,193.38113403320312,0.6294265389442444,0.0017493820050731301
11718607312,0,26.779878418760166,193.38487243652344,0.9452665448188782,0.0017498015658929944
11743607312,0,26.864373115751928,193.3886260986328,1.2617709636688232,0.001750144874677062
11768607312,0,26.949526150095355,193.3923797607422,1.5789358615875244,0.0017506408039480448
