ts,agent_id,x,y,z,v
4627451762,0,192.33245849609375,-85.52122497558594,0.03230749070644379,2.9474135409743534
4652451762,0,192.33306884765625,-85.44557189941406,0.0323406420648098,3.0542928593270617
4677451763,0,192.3347930908203,-85.36741638183594,0.03237726166844368,3.1529616651281542
4702451763,0,192.338134765625,-85.2869644165039,0.032416705042123795,3.249513955187218
4727451764,0,192.3423614501953,-85.20413208007812,0.03245462477207184,3.3474005432244773
4752451764,0,192.34718322753906,-85.11890411376953,0.032490022480487823,3.4442261325901145
4777451764,0,192.3516387939453,-85.03121948242188,0.03252088651061058,3.5405776205372224
4802451765,0,192.3560333251953,-84.94113159179688,0.032549381256103516,3.6351248249565122
4827451765,0,192.360595703125,-84.84870910644531,0.03257619962096214,3.7278464301304006
4852451765,0,192.365478515625,-84.7540054321289,0.03260156512260437,3.8190572847748676
4877451766,0,192.3695068359375,-84.65699768066406,0.03262472152709961,3.907548911149762
4902451766,0,192.373046875,-84.5577392578125,0.032646313309669495,3.996499691722635
4927451767,0,192.37648010253906,-84.45626068115234,0.03266637772321701,4.084538892940018
4952451767,0,192.37997436523438,-84.35258483886719,0.032685182988643646,4.171591357436168
4977451767,0,192.3846893310547,-84.24691009521484,0.03270513564348221,4.252450830691293
5002451768,0,192.39138793945312,-84.13944244384766,0.032727718353271484,4.330694104900701
5027451768,0,192.3993682861328,-84.03003692626953,0.032748278230428696,4.412750464053731
5052451768,0,192.40830993652344,-83.91864776611328,0.03276617079973221,4.495701961354208
5077451769,0,192.41671752929688,-83.80510711669922,0.03277910128235817,4.579344908480706
5102451769,0,192.42486572265625,-83.68941497802734,0.03278959169983864,4.662946103793839
5127451770,0,192.4331817626953,-83.5716323852539,0.032798975706100464,4.745665299992403
5152451770,0,192.4417724609375,-83.45181274414062,0.03280763700604439,4.827553252989773
5177451770,0,192.44869995117188,-83.3299789428711,0.032817669212818146,4.899760799615698
5202451771,0,192.453857421875,-83.20619201660156,0.03282903507351875,4.975784435020306
5227451771,0,192.45802307128906,-83.08039855957031,0.03298311308026314,5.054674238712714
5252451771,0,192.4615936279297,-82.9526138305664,0.03318788483738899,5.13403172342234
5277451772,0,192.46353149414062,-82.822998046875,0.03330957517027855,5.2049814262825675
5302451772,0,192.46270751953125,-82.69180297851562,0.033382855355739594,5.269854235652941
5327451772,0,192.45989990234375,-82.5589370727539,0.03341974318027496,5.3423459168759395
5352451773,0,192.4556427001953,-82.42427825927734,0.03343122452497482,5.417869566165597
5377451773,0,192.45103454589844,-82.28761291503906,0.03342302143573761,5.4981100631997455
5402451774,0,192.44590759277344,-82.14897918701172,0.03340562805533409,5.5766941246078074
5427451774,0,192.44009399414062,-82.0084228515625,0.03338514268398285,5.654133320705619
5452451774,0,192.4334259033203,-81.865966796875,0.03336431458592415,5.730732281899317
5477451775,0,192.42811584472656,-81.7215576171875,0.03334219008684158,5.802856586801389
5502451775,0,192.4241485595703,-81.57518005371094,0.03332197293639183,5.877558148826192
5527451775,0,192.420654296875,-81.42689514160156,0.03330385312438011,5.953094239935259
5552451776,0,192.4172821044922,-81.2767105102539,0.03328805789351463,6.0283734705788214
5577451776,0,192.4158935546875,-81.12480163574219,0.03327814117074013,6.09339721088215
5602451777,0,192.41604614257812,-80.97115325927734,0.03327100723981857,6.164167604011992
5627451777,0,192.4171905517578,-80.81571960449219,0.03326425328850746,6.236652559003769
5652451777,0,192.41908264160156,-80.65847778320312,0.033257998526096344,6.30955579376689
5677451778,0,192.42147827148438,-80.49942016601562,0.03325200825929642,6.382613676392488
5702451778,0,192.42437744140625,-80.33855438232422,0.033246975392103195,6.455246230649217
5727451778,0,192.42776489257812,-80.17664337158203,0.033261433243751526,6.467710108327233
5752451779,0,192.43167114257812,-80.01483917236328,0.03330694139003754,6.469187898705342
5777451779,0,192.4349822998047,-79.85308074951172,0.03336523100733757,6.468834402024402
5802451780,0,192.43792724609375,-79.6913833618164,0.03342717885971069,6.467745665840113
5827451780,0,192.44078063964844,-79.52973175048828,0.03348783403635025,6.4662365724440365
5852451780,0,192.4436798095703,-79.36812591552734,0.03354402631521225,6.464475974833335
5877451781,0,192.44595336914062,-79.20658111572266,0.033595141023397446,6.461929068958515
5902451781,0,192.44776916503906,-79.04508972167969,0.03364061191678047,6.459673391650868
5927451781,0,192.44932556152344,-78.88365173339844,0.03368043899536133,6.457478402685934
5952451782,0,192.45074462890625,-78.7222671508789,0.03371518850326538,6.455286573136521
5977451782,0,192.45201110839844,-78.5609359741211,0.0337451733648777,6.453089134766671
6002451783,0,192.45315551757812,-78.399658203125,0.03377119079232216,6.450875096863194
6027451783,0,192.45423889160156,-78.23844146728516,0.03379346802830696,6.448646272520994
6052451783,0,192.45521545410156,-78.0772705078125,0.03381257876753807,6.44640603167203
6077451784,0,192.45643615722656,-77.91616821289062,0.03382909670472145,6.444061849463487
6102451784,0,192.4578399658203,-77.75511932373047,0.03384324908256531,6.441775100264047
6127451784,0,192.45933532714844,-77.59413146972656,0.033855341374874115,6.439499345358543
6152451785,0,192.46083068847656,-77.43318939208984,0.0338657945394516,6.437223989063469
6177451785,0,192.46263122558594,-77.27232360839844,0.033874720335006714,6.434819166680481
6202451786,0,192.46466064453125,-77.11150360107422,0.03388231247663498,6.4324850741381905
6227451786,0,192.46681213378906,-76.95075225830078,0.03388898819684982,6.430176207586078
6252451786,0,192.46910095214844,-76.78775024414062,0.03384382277727127,6.547638604710226
6277451787,0,192.4715118408203,-76.62196350097656,0.03376516327261925,6.65656815455842
6302451787,0,192.4740447998047,-76.45352935791016,0.03367612883448601,6.761082873593234
6327451787,0,192.47671508789062,-76.28256225585938,0.03358888626098633,6.861578220320646
6352451788,0,192.4794921875,-76.10916137695312,0.03350938856601715,6.95842720656838
6377451788,0,192.482177734375,-75.93340301513672,0.03344007581472397,7.051945686074962
6402451789,0,192.48487854003906,-75.75537872314453,0.03338167071342468,7.142519950744921
6427451789,0,192.48757934570312,-75.57514190673828,0.033333417028188705,7.230405598828461
6452451789,0,192.4903106689453,-75.39276885986328,0.033294618129730225,7.315866293106647
6477451790,0,192.49290466308594,-75.20829772949219,0.033264026045799255,7.3990501103746045
6502451790,0,192.4954071044922,-75.02179718017578,0.03324048966169357,7.48033483520185
6527451790,0,192.49783325195312,-74.83329772949219,0.03322286531329155,7.559861852445345
6552451791,0,192.50022888183594,-74.64283752441406,0.033210087567567825,7.637797017278611
6577451791,0,192.5025177001953,-74.45046997070312,0.03320150449872017,7.714252294713595
6602451791,0,192.50469970703125,-74.2562026977539,0.03319604694843292,7.789430763080836
6627451792,0,192.50680541992188,-74.06009674072266,0.03319314867258072,7.863439781247139
6652451792,0,192.5088653564453,-73.86215209960938,0.033192574977874756,7.936386461248398
6677451793,0,192.5109405517578,-73.66239929199219,0.03319349139928818,8.00837609163621
6702451793,0,192.51300048828125,-73.46086120605469,0.0331958569586277,8.07948554127875
6727451793,0,192.51502990722656,-73.257568359375,0.03319898620247841,8.149790049616124
6752451794,0,192.51705932617188,-73.05252838134766,0.03320283815264702,8.219358613108275
6777451794,0,192.51919555664062,-72.84576416015625,0.03320722654461861,8.28822151869677
6802451794,0,192.52142333984375,-72.63729858398438,0.033211953938007355,8.35649223814887
6827451795,0,192.523681640625,-72.42713165283203,0.033216916024684906,8.4241971915962
6852451795,0,192.52598571777344,-72.21527862548828,0.03322198614478111,8.49137575642925
6877451796,0,192.52841186523438,-72.00176239013672,0.03322705999016762,8.558041331389841
6902451796,0,192.5309295654297,-71.78658294677734,0.03323209658265114,8.624265929420819
6927451796,0,192.5335235595703,-71.56976318359375,0.033237017691135406,8.690069136221389
6952451797,0,192.53622436523438,-71.35130310058594,0.033241864293813705,8.755475660715978
6977451797,0,192.53892517089844,-71.13121795654297,0.03324666991829872,8.82051152365327
7002451797,0,192.5417022705078,-70.90950775146484,0.03325117006897926,8.885191897508086
7027451798,0,192.54449462890625,-70.68618774414062,0.03325551748275757,8.949534484591831
7052451798,0,192.54736328125,-70.46127319335938,0.033259790390729904,9.013558413294467
7077451799,0,192.5501708984375,-70.23479461669922,0.03326478973031044,9.074485101038418
7102451799,0,192.5529327392578,-70.00706481933594,0.033276498317718506,9.120487294688138
7127451799,0,192.5556640625,-69.77855682373047,0.033301256597042084,9.147360946013045
7152451800,0,192.55838012695312,-69.54969787597656,0.033340394496917725,9.1575704553032
7177451800,0,192.56103515625,-69.32086181640625,0.03339254483580589,9.1555773503917
7202451800,0,192.56361389160156,-69.09197235107422,0.03344675153493881,9.158900556235482
7227451801,0,192.566162109375,-68.8630599975586,0.03350011631846428,9.158381282316785
7252451801,0,192.56866455078125,-68.63418579101562,0.033551350235939026,9.156759315614474
7277451802,0,192.5711669921875,-68.4053726196289,0.03359884023666382,9.152900934453248
7302451802,0,192.5736541748047,-68.17694091796875,0.03364912047982216,9.132917799204561
7327451802,0,192.5761260986328,-67.94937133789062,0.033707790076732635,9.09502653005843
