ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
15142398564,0,9.839566900415846,193.1226348876953,-20.90357780456543,0.00156822195276618
15167398564,0,9.871717942398972,193.12403869628906,-20.78177261352539,0.00156822195276618
15192398564,0,9.902327428457788,193.1254425048828,-20.659963607788086,0.00156822195276618
15217398565,0,9.931319328938487,193.12684631347656,-20.53815460205078,0.00156822195276618
15242398565,0,9.958624989958583,193.1282501220703,-20.416345596313477,0.00156822195276618
15267398566,0,9.984192919904496,193.12966918945312,-20.294536590576172,0.00156822195276618
15292398566,0,10.008258685197331,193.13107299804688,-20.172725677490234,0.00156822195276618
15317398566,0,10.032190210388638,193.13247680664062,-20.05091667175293,0.00156822195276618
15342398567,0,10.056175044589347,193.13388061523438,-19.929107666015625,0.00156822195276618
15367398567,0,10.080204581170811,193.13528442382812,-19.80729866027832,0.00156822195276618
15392398567,0,10.104269966462331,193.13668823242188,-19.685489654541016,0.00156822195276618
15417398568,0,10.128374980332348,193.1381072998047,-19.56368064880371,0.00156822195276618
15442398568,0,10.152512696716867,193.13951110839844,-19.441871643066406,0.00156822195276618
15467398568,0,10.176681670865877,193.1409149169922,-19.3200626373291,0.00156822195276618
15492398569,0,10.2008854713192,193.14231872558594,-19.198253631591797,0.00156822195276618
15517398569,0,10.225120277385106,193.1437225341797,-19.076444625854492,0.00156822195276618
15542398570,0,10.249383945139757,193.14512634277344,-18.954635620117188,0.00156822195276618
15567398570,0,10.273684794839546,193.14654541015625,-18.832826614379883,0.00156822195276618
15592398570,0,10.298014267073352,193.14794921875,-18.711017608642578,0.00156822195276618
15617398571,0,10.322376866617681,193.14935302734375,-18.589208602905273,0.00156822195276618
15642398571,0,10.346770681088579,193.1507568359375,-18.46739959716797,0.00156822195276618
15667398571,0,10.371197155521434,193.15216064453125,-18.345590591430664,0.00156822195276618
15692398572,0,10.39565720319886,193.153564453125,-18.22378158569336,0.00156822195276618
15717398572,0,10.420148454729395,193.1549835205078,-18.101972579956055,0.00156822195276618
15742398573,0,10.444674493288359,193.15638732910156,-17.98016357421875,0.00156822195276618
15767398573,0,10.469233638636249,193.1577911376953,-17.858354568481445,0.00156822195276618
15792398573,0,10.4938247501992,193.15919494628906,-17.73654556274414,0.00156822195276618
15817398574,0,10.516964675009342,193.1605987548828,-17.614736557006836,0.00156822195276618
15842398574,0,10.537645993865468,193.16200256347656,-17.49292755126953,0.00156822195276618
15867398574,0,10.55597006309111,193.1634063720703,-17.371118545532227,0.00156822195276618
15892398575,0,10.57201969241263,193.16482543945312,-17.249309539794922,0.00156822195276618
15917398575,0,10.585868052652259,193.16622924804688,-17.127500534057617,0.00156822195276618
15942398576,0,10.597576633375521,193.16763305664062,-17.00568962097168,0.00156822195276618
15967398576,0,10.607192664146533,193.16903686523438,-16.883880615234375,0.00156822195276618
15992398576,0,10.61475519189849,193.17044067382812,-16.76207160949707,0.00156822195276618
